query,clean_query,corrected_query,cluster
foot loops,foot loops,foot loops,0
gents chappal white,gents chappal white,gents chapel white,4
pipe patti,pipe patti,pipe patti,1
new,new,new,3
brikenstoke,brikenstoke,brikenstoke,1
chainacrocks,chainacrocks,chainacrocks,1
BDR,bdr,bar,3
men navara,men navara,men navar,1
Stricker,stricker,sticker,3
columbus,columbus,columbus,3
agra foot wear,agra foot wear,agra foot wear,0
men lether footwear,men lether footwear,men letter footwear,0
cubix,cubix,cubic,3
pcw,pcw,paw,1
lejano,lejano,lean,1
pcw,pcw,paw,1
woodland,woodland,woodland,1
new balance 9060,new balance 9060,new balance 9060,4
striker,striker,striker,1
striker,striker,striker,1
footdose,footdose,footnote,0
vkc,vkc,vic,3
plip plop,plip plop,slip plop,0
à°¸à°¿à°¨à±€,,,3
sega 4,sega 4,sega 4,1
strikar,strikar,striker,1
5324,5324,5324,4
5324,5324,5324,4
5324,5324,5324,4
waxing hearter,waxing hearter,waxing heater,1
lufors,lufors,rumors,3
kickoff,kickoff,kickoff,3
arafa,arafa,arafat,1
campus,campus,campus,4
lee fox,lee fox,lee fox,1
zs fasion,zs fasion,zs fashion,2
auoo,auoo,auto,3
medifeet,medifeet,medifeet,1
double layer clog,double layer clog,double layer clog,1
eva slippers l,eva slippers l,eva slippers l,0
men flipflops,men flipflops,men flipflops,0
croose,croose,choose,3
men flipflops l,men flipflops l,men flipflops l,0
double colour clog,double colour clog,double color clog,1
niku,niku,nike,0
ladies kurta,ladies kurta,ladies kurt,3
asian,asian,asian,1
crocs og,crocs og,cross of,1
baby socks,baby socks,baby socks,0
Woodland,woodland,woodland,1
hotstyle,hotstyle,hostile,3
woodland,woodland,woodland,1
tlizrok,tlizrok,tlizrok,1
à²ªà²¿à²Ÿà³à²Ÿà²¿à²šà³,,,3
aerosoft,aerosoft,aerosol,1
all model ladies frocks good quality,all model ladies frocks good quality,all model ladies frocks good quality,0
football stuts,football stuts,football shuts,3
cityfoots,cityfoots,cityfoots,0
city foots,city foots,city foots,0
burkha,burkha,burka,1
christofano,christofano,christofano,1
lexa,lexa,lea,1
redtape,redtape,retake,3
11Ã—12 crocks,1112 crocks,1112 crocks,4
hmt,hmt,hit,3
brolly,brolly,brolly,3
brolly,brolly,brolly,3
ladies footwear brand,ladies footwear brand,ladies footwear brand,0
https://tiesta.in/,httpstiestain,httpstiestain,1
which is fancy lady footwear,which is fancy lady footwear,which is fancy lady footwear,0
apl xpro,apl xpro,all pro,3
lunar,lunar,lunar,1
brik,brik,brick,3
jp,jp,up,3
dx,dx,do,3
pu thumb strab 1002,pu thumb strab 1002,pu thumb stab 1002,4
drive non brand,drive non brand,drive non brand,1
dkd,dkd,did,3
air fax,air fax,air fax,1
whistle footwear,whistle footwear,whistle footwear,0
lancer FN 104,lancer fn 104,lancer in 104,1
polyester nighty,polyester nighty,polyester nighty,2
nighties,nighties,nighties,1
bmg,bmg,big,3
striker,striker,striker,1
liberty,liberty,liberty,3
footwellbrand,footwellbrand,footwellbrand,0
apl brand,apl brand,all brand,1
ofroam brand,ofroam brand,from brand,1
pcw,pcw,paw,1
croks with lace,croks with lace,cross with lace,0
new arrival croks,new arrival croks,new arrival cross,1
FL LITE,fl lite,fl lite,1
fl lite,fl lite,fl lite,1
forh feet,forh feet,for feet,0
froh feet,froh feet,from feet,0
rita,rita,rita,1
wardrobe shut,wardrobe shut,wardrobe shut,2
Waheguru shut,waheguru shut,waheguru shut,1
brano,brano,brand,1
dunkstan,dunkstan,dunstan,1
funky,funky,funky,3
bruton,bruton,burton,3
kaezri,kaezri,kari,1
lexa,lexa,lea,1
boys crocs,boys crocs,boys cross,3
pro foam,pro foam,pro foam,1
b2r,b2r,bar,3
p0numcutshos,p0numcutshos,p0numcutshos,1
campusschoolshoe,campusschoolshoe,campusschoolshoe,4
crocss skymet,crocss skymet,cross skype,1
wood land,wood land,wood land,1
exicutive,exicutive,executive,1
micro towel,micro towel,micro towel,1
nayra international,nayra international,nara international,1
A1 star 09,a1 star 09,a star 09,1
froh feet,froh feet,from feet,0
small babys,small babys,small baby,1
casino,casino,casino,1
mediydi,mediydi,medici,1
Child crocks,child crocks,child crocks,0
Woodland,woodland,woodland,1
Redexo 045,redexo 045,redeem 045,4
Redexo 040,redexo 040,redeem 040,4
jumplite,jumplite,tumpline,1
panin,panin,pain,3
fo83,fo83,for,3
fo83,fo83,for,3
aku panchar,aku panchar,au anchor,1
delhi,delhi,delhi,1
Max 01 hilux,max 01 hilux,max 01 hilum,4
bellies 278,bellies 278,bellies 278,4
Bellies 278,bellies 278,bellies 278,4
safe toe art rider,safe toe art rider,safe toe art rider,0
goel industries globin,goel industries globin,goes industries globin,1
performax,performax,perform,3
slg,slg,slug,3
jk enterpricrs,jk enterpricrs,ok enterprises,1
colombus,colombus,columbus,3
campus for sir Ki Topi,campus for sir ki topi,campus for sir ki topi,4
CHAMPSSHOES,champsshoes,champsshoes,1
uttam pamsu,uttam pamsu,team past,3
airwash,airwash,airway,1
cobblir,cobblir,cobbler,1
nepolion,nepolion,napoleon,1
picso 167,picso 167,pics 167,4
picso 167,picso 167,pics 167,4
picso195,picso195,picso195,4
picso 167,picso 167,pics 167,4
picso167,picso167,picso167,4
picso 167,picso 167,pics 167,4
gentle corex,gentle corex,gentle core,1
sock siks,sock siks,sock sits,0
aldas,aldas,alias,1
zodiz,zodiz,zodiac,1
reboxy,reboxy,reborn,3
prolife,prolife,proline,1
lether casual men,lether casual men,letter casual men,1
papgi,papgi,paper,3
Quikr,quikr,quirk,3
asian storm,asian storm,asian storm,1
kaslar,kaslar,kevlar,3
kafon,kafon,kaon,1
spacer,spacer,spacer,1
abrose,abrose,arose,3
Ashoka,ashoka,asoka,1
asoka,asoka,asoka,1
khaitan,khaitan,shaitan,1
tiles Mein pahnane ke liye sauce,tiles mein pahnane ke liye sauce,tiles mean pahang we like sauce,1
ladies ka boor dikhao,ladies ka boor dikhao,ladies ka boor diktat,1
Chhote Katra suit,chhote katra suit,choose kara suit,1
Chhote bacche ka track suit,chhote bacche ka track suit,choose bacchae ka track suit,1
Chhote bacchon ka track suit,chhote bacchon ka track suit,choose bacon ka track suit,1
samba,samba,samba,1
brk,brk,bark,3
zydn,zydn,yen,1
tfc,tfc,tic,3
jaket,jaket,jacket,2
Nike revotion,nike revotion,nike devotion,0
nike revolution,nike revolution,nike revolution,0
Woodland coffee,woodland coffee,woodland coffee,1
cumpas oxyfit,cumpas oxyfit,cuppas outfit,1
LEE ROK,lee rok,lee rock,1
LEE ROK Shu,lee rok shu,lee rock she,1
ronak ogey,ronak ogey,rona obey,1
ronak ogir,ronak ogir,rona or,1
citizen casual,citizen casual,citizen casual,1
citizen casual tution,citizen casual tution,citizen casual tuition,4
Shree shyam traders,shree shyam traders,three sham traders,1
Shree shyam terdets,shree shyam terdets,three sham tercets,1
zaydn,zaydn,haydn,1
dunlup,dunlup,dunlap,1
hulex,hulex,culex,1
bata lades pam show,bata lades pam show,data lades pam show,1
siga,siga,sign,3
siga ster,siga ster,sign step,3
ashoka,ashoka,asoka,1
sega,sega,sega,1
abros,abros,bros,3
2097,2097,2097,4
ago company,ago company,ago company,1
sahara,sahara,sahara,1
high night,high night,high night,3
redtap,redtap,redcap,3
indus fw print,indus fw print,indus few print,1
pam su,pam su,pam so,1
pamshu sho,pamshu sho,pasha so,1
indus fw print,indus fw print,indus few print,1
cubixcubix,cubixcubix,cubixcubix,1
cubix,cubix,cubic,3
chair,chair,chair,1
asian oxigen,asian oxigen,asian oxygen,1
à¦†à¦°à¦ªà¦¾à¦°,,,3
126,126,126,4
manay Enterprises,manay enterprises,many enterprises,1
sega black,sega black,sega black,1
white shirt,white shirt,white shirt,2
Barches,barches,marches,3
12 size crocks,12 size crocks,12 size crocks,0
walkoro ladies,walkoro ladies,walkers ladies,0
lpg  gas  par t s,lpg  gas  par t s,leg gas par t s,0
wg5633,wg5633,wg5633,4
sainik footwear,sainik footwear,sink footwear,0
Dazy119,dazy119,dazy119,4
Dazy 119,dazy 119,day 119,4
DaZY119,dazy119,dazy119,4
Dazy 119,dazy 119,day 119,4
foot point,foot point,foot point,0
show,show,show,3
lee fox,lee fox,lee fox,1
star kids,star kids,star kids,1
xpanl,xpanl,pal,3
mr china,mr china,mr china,1
dashny,dashny,dash,1
asian,asian,asian,1
avalon,avalon,avalon,1
abroz,abroz,broz,3
mance ka Crocs,mance ka crocs,dance ka cross,1
1795,1795,1795,4
sandals 1648,sandals 1648,sandals 1648,0
sandals 1648,sandals 1648,sandals 1648,0
sandals 1648,sandals 1648,sandals 1648,0
sandals 1648,sandals 1648,sandals 1648,0
sandals 1458,sandals 1458,sandals 1458,0
sandals 1458,sandals 1458,sandals 1458,0
sandals 1648,sandals 1648,sandals 1648,0
sandals 1458,sandals 1458,sandals 1458,0
girls kids hawai,girls kids hawai,girls kids hawaii,1
ileana,ileana,clean,3
PAN 2423,pan 2423,pan 2423,4
bride,bride,bride,1
bride,bride,bride,1
bride,bride,bride,1
munnu garma,munnu garma,funny karma,3
srv,srv,sri,1
Sparky long pant,sparky long pant,sparky long pant,1
Us polo,us polo,us polo,1
tell baby toys,tell baby toys,tell baby toys,1
Lee Cooper,lee cooper,lee cooper,1
asian firefly 4,asian firefly 4,asian firefly 4,1
kids shoe,kids shoe,kids shoe,0
Jambheshwar,jambheshwar,jambheshwar,1
Alex Burj Hotel,alex burj hotel,alex burn hotel,1
frohfeet,frohfeet,crowfeet,1
forthfeet,forthfeet,forefeet,3
froh feet,froh feet,from feet,0
narain polimar,narain polimar,again polar,1
narainpolimar,narainpolimar,narainpolimar,1
welcome2859,welcome2859,welcome2859,4
Uniage bely,uniage bely,unique bell,1
Uniage bellly,uniage bellly,unique belly,1
Munda soul ladies,munda soul ladies,munda soul ladies,1
relaxo casual,relaxo casual,relax casual,3
bellies 354,bellies 354,bellies 354,4
fashion fit,fashion fit,fashion fit,2
sports 491,sports 491,sports 491,4
"Take a look at this bacca bucci ATTITUDE Korean style High Tops For Men on Flipkart
https://dl.flipkart.com/s/Jl2JS1uuuN","take a look at this bacca bucci attitude korean style high tops for men on flipkart
httpsdlflipkartcomsjl2js1uuun",take a look at this barca gucci attitude korean style high tops for men on flippant httpsdlflipkartcomsjl2js1uuun,1
"Take a look at this bacca bucci ATTITUDE Korean style High Tops For Men on Flipkart
https://dl.flipkart.com/s/Jl2JS1uuuN","take a look at this bacca bucci attitude korean style high tops for men on flipkart
httpsdlflipkartcomsjl2js1uuun",take a look at this barca gucci attitude korean style high tops for men on flippant httpsdlflipkartcomsjl2js1uuun,1
ladies  j I l o,ladies  j i l o,ladies j i l o,1
glamor,glamor,glamor,1
amco,amco,ammo,3
jaket,jaket,jacket,2
hotstar,hotstar,hotter,3
ventex,ventex,vented,3
action mention,action mention,action mention,3
you like,you like,you like,3
amco,amco,ammo,3
loorooy Po,loorooy po,poorboy po,1
dg foam,dg foam,dg foam,1
Lades .haf panshoe,lades haf panshoe,lades had pawnshop,1
AIR luz,air luz,air luz,1
stepio,stepio,step,3
small bag,small bag,small bag,1
smal beg,smal beg,small beg,3
Jordan shooes,jordan shooes,jordan shoes,0
dhamsa,dhamsa,drama,3
dhamsa,dhamsa,drama,3
revire,revire,retire,3
colombus,colombus,columbus,3
kcc footwear,kcc footwear,kc footwear,0
vritraz womens,vritraz womens,vritraz women,1
room sapol,room sapol,room salol,1
laice crocks,laice crocks,lace crocks,0
safety boot,safety boot,safety boot,0
safety boot,safety boot,safety boot,0
balies,balies,babies,3
fittos,fittos,dittos,3
4G Su lady,4g su lady,ag so lady,1
Fauji Delhi se,fauji delhi se,fuji delhi se,4
OG C ladies,og c ladies,of c ladies,1
feetup,feetup,feet,0
woodland,woodland,woodland,1
ladies campus,ladies campus,ladies campus,4
#hoes,hoes,hoes,3
new,new,new,3
action onl-03,action onl03,action only,3
Ford dost,ford dost,ford dost,1
q lite,q lite,q lite,1
ApH f,aph f,ah f,3
Niak,niak,nick,1
trv lite,trv lite,try lite,1
trv flip flop,trv flip flop,try flip flop,1
trv flip flops,trv flip flops,try flip flops,0
Osaka brand,osaka brand,osaka brand,1
BR interest industrious,br interest industrious,br interest industrious,1
RB branch,rb branch,rb branch,3
are we industrious,are we industrious,are we industrious,1
Arabi International,arabi international,arab international,1
RB,rb,rb,3
RB International,rb international,rb international,1
Kolkata hawaai,kolkata hawaai,kolkata hawaii,1
jump light,jump light,jump light,1
jump lite,jump lite,jump lite,1
jumplite sho,jumplite sho,tumpline so,1
senker,senker,seeker,1
sport shoes,sport shoes,sport shoes,0
sport shoes,sport shoes,sport shoes,0
ladies Bina lace ka show,ladies bina lace ka show,ladies bin lace ka show,1
kickan,kickan,kick,3
kickann,kickann,kicking,0
kickann,kickann,kicking,0
welcome pure - 21,welcome pure  21,welcome pure 21,4
welcome pure - 2,welcome pure  2,welcome pure 2,1
walcam,walcam,talcum,1
Hooves,hooves,hooves,0
Roomsliper,roomsliper,roomsliper,1
heel,heel,heel,0
UNIQE STAR,uniqe star,unique star,1
slv soft hawai,slv soft hawai,sly soft hawaii,1
sandals 1648,sandals 1648,sandals 1648,0
sandals 1648,sandals 1648,sandals 1648,0
sandals 1648,sandals 1648,sandals 1648,0
sandals 1648,sandals 1648,sandals 1648,0
sandals 1648,sandals 1648,sandals 1648,0
one more,one more,one more,3
football studs,football studs,football studs,1
feddolllll,feddolllll,feddolllll,3
ladish swaal,ladish swaal,lavish waal,1
saal,saal,seal,3
new,new,new,3
rusta home,rusta home,rusty home,3
Aerokick shoes,aerokick shoes,aerobics shoes,0
hush puppies,hush puppies,hush puppies,1
vivek agarwal,vivek agarwal,vive agarwal,1
Aqulite,aqulite,quite,3
F3,f3,fa,3
Cindy,cindy,cindy,1
Slv,slv,sly,3
Aqulite,aqulite,quite,3
baby clog,baby clog,baby clog,1
Adidas first copy,adidas first copy,adidas first copy,0
bata,bata,data,1
1 car for 7years,1 car for 7years,1 car for years,3
Hi sogo,hi sogo,hi solo,1
clogs 1088,clogs 1088,clogs 1088,4
lokaso,lokaso,lotas,1
rain boot,rain boot,rain boot,0
ladies kids,ladies kids,ladies kids,3
women kids,women kids,women kids,1
ladies blazer,ladies blazer,ladies blazer,1
pam shu,pam shu,pam she,1
fludic,fludic,ludic,1
Ajanta hawai 028,ajanta hawai 028,santa hawaii 028,4
Nike hawai,nike hawai,nike hawaii,0
Nike covers,nike covers,nike covers,0
Khadim hawai,khadim hawai,khaki hawaii,1
Jordan cover,jordan cover,jordan cover,1
Ajanta Hawai,ajanta hawai,santa hawaii,1
Jordan cover,jordan cover,jordan cover,1
Khadimes pro,khadimes pro,khadimes pro,1
Khadimes pro,khadimes pro,khadimes pro,1
Ajanta hawai,ajanta hawai,santa hawaii,1
Nike silver,nike silver,nike silver,0
bumbe hawai,bumbe hawai,bumble hawaii,1
man casul,man casul,man casual,3
khadim cross,khadim cross,khaki cross,1
walkylight,walkylight,walkylight,0
vkv,vkv,vav,3
fancy sandel for gils,fancy sandel for gils,fancy sandal for girls,1
new look child zooti,new look child zooti,new look child foot,0
kid slip,kid slip,kid slip,0
action hen-24,action hen24,action hence,3
khadim grill,khadim grill,khaki grill,1
sega comfurt,sega comfurt,sega comfort,1
price 339,price 339,price 339,4
light  shop,light  shop,light shop,1
light  shop,light  shop,light shop,1
sastachapla,sastachapla,sastachapla,1
inner cap a.a,inner cap aa,inner cap a,1
inner cap s.s,inner cap ss,inner cap ss,1
snowlife,snowlife,snowline,1
mens jacket,mens jacket,men jacket,2
sega Juno plus,sega juno plus,sega juno plus,1
progon,progon,proton,1
Aqualite 205 girls,aqualite 205 girls,quality 205 girls,4
Aqualite 205 lesit,aqualite 205 lesit,quality 205 lest,4
kizashi,kizashi,kizashi,1
footox,footox,foot,0
Nike dusin,nike dusin,nike dustin,0
Sparx kanbus,sparx kanbus,spare kanzus,1
asian ladies,asian ladies,asian ladies,1
asian women,asian women,asian women,1
aircity,aircity,atrocity,3
Columbus,columbus,columbus,3
feetlike,feetlike,eellike,1
feetlike,feetlike,eellike,1
Action milano,action milano,action milan,1
action milano,action milano,action milan,1
parafeet,parafeet,parakeet,1
cipramo,cipramo,cipro,1
novelty art 522,novelty art 522,novelty art 522,1
novelty,novelty,novelty,1
hrx,hrx,hex,3
Adidas Nayak ka pitawa,adidas nayak ka pitawa,adidas kayak ka pita,0
aqualite,aqualite,quality,3
bluetyaga,bluetyaga,bluetyaga,1
winter shor,winter shor,winter show,1
palaza Footwear,palaza footwear,plaza footwear,0
orthorest l333,orthorest l333,orthoses l333,1
crocs fast copy,crocs fast copy,cross fast copy,1
segastar,segastar,megastar,1
jumplite,jumplite,tumpline,1
bata tennis,bata tennis,data tennis,1
adidas first copy,adidas first copy,adidas first copy,0
doctorchappal,doctorchappal,doctorchappal,1
star ride,star ride,star ride,1
adda omega 02,adda omega 02,add omega 02,4
adda men omega,adda men omega,add men omega,1
asiyan sort shu,asiyan sort shu,asian sort she,1
asiyan sort shu,asiyan sort shu,asian sort she,1
jench selper,jench selper,bench seller,1
jench selper,jench selper,bench seller,1
hie nak,hie nak,hie na,1
ladara buta,ladara buta,radar but,1
river,river,river,3
Bata lag raha,bata lag raha,data lag aha,1
follwers contion,follwers contion,followers coition,1
Juta,juta,jut,3
"dilli,product,ledis",dilliproductledis,dilliproductledis,1
jacket,jacket,jacket,2
lofarshoes,lofarshoes,lofarshoes,1
SLT lite,slt lite,set lite,1
wonder falero,wonder falero,wonder alert,1
delwin,delwin,detain,3
22g 1230,22g 1230,big 1230,4
Aqualita à¤¸à¥à¤²à¥€à¤ªà¤°,aqualita ,quality,3
asian Delta 20 white,asian delta 20 white,asian delta 20 white,1
bride,bride,bride,1
à¤µà¤œà¥€à¤°,,,3
à¤µà¤œà¥€à¤°,,,3
spensar,spensar,spenser,1
à¤¹à¤¾à¤« à¤®à¥‡à¤‚ à¤¸à¥à¤ªà¥‹à¤°à¥à¤Ÿà¥à¤¸ à¤¶à¥‚à¤œ,   ,,3
à¤¸à¥à¤ªà¥‹à¤°à¥à¤Ÿà¥à¤¸ à¤¶à¥‚à¤œ, ,,3
chapalflite,chapalflite,chapalflite,1
galaxy footwear,galaxy footwear,galaxy footwear,0
TRZ,trz,try,3
kats footwear,kats footwear,eats footwear,0
kats,kats,eats,3
kats,kats,eats,3
eva juti,eva juti,eva jut,1
aar par,aar par,car par,1
crocks flite men,crocks flite men,crocks flite men,0
bdr,bdr,bar,3
abros,abros,bros,3
bride,bride,bride,1
asian lace up,asian lace up,asian lace up,0
supreme light,supreme light,supreme light,1
redchif,redchif,redshift,1
aisan,aisan,asian,1
aisan,aisan,asian,1
Bolt 6/10,bolt 610,bolt 610,4
pvc wahaii 1114,pvc wahaii 1114,pic hawaii 1114,4
Action,action,action,3
Action,action,action,3
Action,action,action,3
sky kent,sky kent,sky kent,1
happenstance,happenstance,happenstance,3
shiv naresh,shiv naresh,shiv nares,1
reflex hawai,reflex hawai,reflex hawaii,1
reflex hawai,reflex hawai,reflex hawaii,1
lakhani puffz,lakhani puffz,lakhani puff,1
felexo,felexo,flex,3
vkc hawai,vkc hawai,vic hawaii,1
tejas,tejas,teas,1
skylark hawai,skylark hawai,skylark hawaii,1
campus big size,campus big size,campus big size,4
asian,asian,asian,1
zayden,zayden,hayden,1
parafeet,parafeet,parakeet,1
nagarashu Sherwani,nagarashu sherwani,nagarashu sherman,1
Golf ka Maan,golf ka maan,golf ka man,1
China all item,china all item,china all item,1
Moti Roxy health,moti roxy health,moth roxy health,1
spraking,spraking,speaking,3
Airson,airson,arson,3
bride,bride,bride,1
bride 1515,bride 1515,bride 1515,4
lace-up 1076,laceup 1076,backup 1076,4
jacket,jacket,jacket,2
moti hawai,moti hawai,moth hawaii,1
arbunore,arbunore,arbunore,1
Bonjar,bonjar,sonar,1
mosach,mosach,coach,3
neoz,neoz,neon,1
saftyshoes,saftyshoes,saftyshoes,0
Columbus,columbus,columbus,3
Shanti techno plastic lemrted,shanti techno plastic lemrted,shanty techno plastic learned,1
swiftlite,swiftlite,swiftlet,1
abors,abors,abort,3
footdos,footdos,foods,1
winter footwear for women,winter footwear for women,winter footwear for women,0
pamma,pamma,gamma,4
campus atlantis,campus atlantis,campus atlantis,4
hi fly ladies,hi fly ladies,hi fly ladies,1
Red chief,red chief,red chief,1
red chief,red chief,red chief,1
jayden,jayden,hayden,1
asian box 1,asian box 1,asian box 1,1
bijnis,bijnis,binds,1
medisaft,medisaft,mediant,1
relaxo,relaxo,relax,3
parry,parry,parry,1
medifeet,medifeet,medifeet,1
action long,action long,action long,3
vajeer arba,vajeer arba,career area,1
abros,abros,bros,3
copper,copper,copper,1
columbus,columbus,columbus,3
yt traders,yt traders,yt traders,1
virgin,virgin,virgin,3
Venus Lakhani,venus lakhani,venus lakhani,1
Venus,venus,venus,1
virgin,virgin,virgin,3
columbus,columbus,columbus,3
kids footwear,kids footwear,kids footwear,0
just kids,just kids,just kids,3
just kids,just kids,just kids,3
Bluetooth,bluetooth,bluetooth,1
home faction,home faction,home faction,1
vkc,vkc,vic,3
hightech,hightech,hightest,3
k star,k star,k star,1
Dessx mea dress,dessx mea dress,desex me dress,2
tsf,tsf,ts,3
plastic waterproof,plastic waterproof,plastic waterproof,1
polo sweeter,polo sweeter,polo sweeter,1
komico,komico,comic,3
pu thumb strap 2257,pu thumb strap 2257,pu thumb strap 2257,4
Dab Shuffle,dab shuffle,dab shuffle,1
Air shoes,air shoes,air shoes,0
trakstar,trakstar,trakstar,1
Find x8 pro,find x8 pro,find xu pro,1
Nana chhokra Parwana,nana chhokra parwana,anna cahokia arcana,1
woodland,woodland,woodland,1
metro,metro,metro,1
jwellary,jwellary,jwellary,3
jwellart,jwellart,jwellart,1
42149,42149,42149,4
mobail,mobail,mobil,1
mobail covar,mobail covar,mobil cover,1
kids dress,kids dress,kids dress,0
Nike jacket,nike jacket,nike jacket,2
HRX,hrx,hex,3
colambus,colambus,columbus,3
tube sole,tube sole,tube sole,0
black chain jeans pant funky,black chain jeans pant funky,black chain jeans pant funky,2
Black jeans back funky pant,black jeans back funky pant,black jeans back funky pant,2
Girls mojri,girls mojri,girls more,3
Paragon Hawai,paragon hawai,paragon hawaii,1
Paragon cushion,paragon cushion,paragon cushion,1
r swiss,r swiss,r swiss,1
smart watch,smart watch,smart watch,1
iphone 15 pro,iphone 15 pro,iphone 15 pro,1
boys banins,boys banins,boys banns,3
ramraj banins,ramraj banins,ramrod banns,1
kurta pajama,kurta pajama,kurt pajama,1
blazer kot,blazer kot,blazer not,3
lakhani touch,lakhani touch,lakhani touch,1
snowlift,snowlift,shoplift,1
arpar,arpar,area,3
à¤¸à¥à¤µà¤¦à¥‡à¤¶à¥€ à¤¸à¥à¤²à¥€à¤ªà¤°, ,,3
banions,banions,bunions,1
Vivo y 20,vivo y 20,vive y 20,1
HW  battery,hw  battery,he battery,3
cargo pent,cargo pent,cargo pent,1
drone,drone,drone,1
iphone,iphone,iphone,3
jacket,jacket,jacket,2
nado jeans,nado jeans,ado jeans,2
jeans pant narrow,jeans pant narrow,jeans pant narrow,2
jogar jins,jogar jins,sugar wins,1
tiki bike ring,tiki bike ring,tiki bike ring,1
jogar fit jins,jogar fit jins,sugar fit wins,1
kurta,kurta,kurt,3
twist mop,twist mop,twist mop,1
pant shirt,pant shirt,pant shirt,2
airport,airport,airport,3
jaket,jaket,jacket,2
power bank,power bank,power bank,1
power bank,power bank,power bank,1
power bank,power bank,power bank,1
à¤®à¤¾à¤‚ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¥ˆà¤•à¥‡à¤Ÿ,   ,,3
men jekit,men jekit,men exit,3
sparx,sparx,spare,3
dekothlon jacket mens,dekothlon jacket mens,decathlon jacket men,2
mens pant colours,mens pant colours,men pant colors,2
wakro,wakro,war,3
creoz,creoz,creon,1
jacket,jacket,jacket,2
biker jacket,biker jacket,biker jacket,2
ladis pump ahow,ladis pump ahow,ladies pump how,1
mens shirts,mens shirts,men shirts,2
vesper,vesper,vesper,1
watch,watch,watch,3
pressure varan,pressure varan,pressure saran,1
pressure Horan,pressure horan,pressure horn,1
jeans pant,jeans pant,jeans pant,2
fly max,fly max,fly max,1
remote wala gadi à¤¬à¤¢à¤¼à¤¿à¤¯à¤¾-à¤¬à¤¢à¤¼à¤¿à¤¯à¤¾,remote wala gadi ,remote walk wadi,1
gadi à¤¬à¤¢à¤¼à¤¿à¤¯à¤¾-à¤¬à¤¢à¤¼à¤¿à¤¯à¤¾ remote wala,gadi  remote wala,wadi remote walk,1
Baja à¤¬à¤¢à¤¼à¤¿à¤¯à¤¾-à¤¬à¤¢à¤¼à¤¿à¤¯à¤¾ home theatre,baja  home theatre,baba home theatre,1
à¤«à¥‹à¤¨ à¤µà¤¾à¤²à¥€ à¤˜à¤¡à¤¼à¥€ à¤Ÿà¤š à¤µà¤¾à¤²à¥€ à¤«à¥‹à¤¨ à¤µà¤¾à¤²à¥€ à¤˜à¤¡à¤¼à¥€ à¤•à¤® à¤¦à¤¾à¤® à¤®à¥‡à¤‚,          ,,3
watch,watch,watch,3
hoodie,hoodie,goodie,3
baggy jeans,baggy jeans,baggy jeans,2
baggy,baggy,baggy,3
aar par,aar par,car par,1
jeans Tshirt dikhao,jeans tshirt dikhao,jeans shirt diktat,2
jeans pant dikhao,jeans pant dikhao,jeans pant diktat,2
watch,watch,watch,3
à¤•à¥‹à¤²à¥à¤¹à¤¾à¤ªà¥‚à¤°,,,3
watch,watch,watch,3
Watch âŒš,watch ,watch,3
bulk system,bulk system,bulk system,1
ladies lighter,ladies lighter,ladies lighter,1
filfalup,filfalup,filfalup,1
watch,watch,watch,3
felko,felko,felt,3
sparky jins,sparky jins,sparky wins,3
sbm,sbm,sum,3
sbm,sbm,sum,3
Supreme light,supreme light,supreme light,1
company wokline,company wokline,company online,1
Clothing men,clothing men,clothing men,2
à¤•à¤ªà¤¡à¤¼à¥‡,,,3
calpeta,calpeta,carpet,1
garments,garments,garments,2
à¦¬à§à¦Ÿ,,,3
Jens pant for man,jens pant for man,jews pant for man,1
jacket jacket,jacket jacket,jacket jacket,2
jakat men,jakat men,jacket men,2
cotenpant,cotenpant,cotenant,1
jens pant,jens pant,jews pant,1
Jeans Aur paint,jeans aur paint,jeans our paint,2
Ham to Kaha kapde,ham to kaha kapde,ham to kara made,1
jeans pant,jeans pant,jeans pant,2
friend jeans pant,friend jeans pant,friend jeans pant,2
Allen Solly shirt mens,allen solly shirt mens,allen silly shirt men,2
Allen Solly,allen solly,allen silly,3
airsport,airsport,airport,3
Lee cooper,lee cooper,lee cooper,1
orex,orex,ore,3
orexa,orexa,area,3
juwelary,juwelary,jewelry,1
jeans pant,jeans pant,jeans pant,2
earphone,earphone,earphone,1
jeans,jeans,jeans,2
set,set,set,3
t sat,t sat,t sat,1
jines boy,jines boy,lines boy,3
jines men,jines men,lines men,3
camera,camera,camera,3
kapde,kapde,made,3
chut,chut,cut,3
jeans couple,jeans couple,jeans couple,2
this pain,this pain,this pain,3
hot jeans,hot jeans,hot jeans,2
gents ladke ka,gents ladke ka,gents lake ka,1
à¤ à¤‚à¤¡à¥€ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¥ˆà¤•à¥‡à¤Ÿ,    ,,3
jins boys,jins boys,wins boys,3
office chair,office chair,office chair,1
woman heel sandil,woman heel sandil,woman heel sandal,0
china item,china item,china item,1
24 sal ke aadami ki pant damage,24 sal ke aadami ki pant damage,24 sal we madam ki pant damage,1
welshine,welshine,welshing,1
medi feet,medi feet,media feet,0
medifeet,medifeet,medifeet,1
medifit,medifit,mediant,1
vinchee,vinchee,inches,3
vinchee,vinchee,inches,3
design studio,design studio,design studio,1
design studia,design studia,design studio,1
sole,sole,sole,0
trz,trz,try,3
260,260,260,4
